Period,Age Group,Category 0,Category 1
28,0-20,4,7
28,20-40,0,0
28,40-60,0,0
28,60-80,0,0
28,80-inf,0,0
29,0-20,9,6
29,20-40,0,0
29,40-60,0,0
29,60-80,0,0
29,80-inf,0,0
30,0-20,5,2
30,20-40,0,0
30,40-60,0,0
30,60-80,0,0
30,80-inf,0,0
31,0-20,2,4
31,20-40,0,0
31,40-60,0,0
31,60-80,0,0
31,80-inf,0,0
32,0-20,2,5
32,20-40,0,0
32,40-60,0,0
32,60-80,0,0
32,80-inf,0,0
33,0-20,1,6
33,20-40,0,0
33,40-60,0,0
33,60-80,0,0
33,80-inf,0,0
34,0-20,1,4
34,20-40,0,0
34,40-60,0,0
34,60-80,0,0
34,80-inf,0,0
35,0-20,8,4
35,20-40,0,0
35,40-60,0,0
35,60-80,0,0
35,80-inf,0,0
36,0-20,2,7
36,20-40,0,0
36,40-60,0,0
36,60-80,0,0
36,80-inf,0,0
37,0-20,5,4
37,20-40,0,0
37,40-60,0,0
37,60-80,0,0
37,80-inf,0,0
38,0-20,5,3
38,20-40,0,0
38,40-60,0,0
38,60-80,0,0
38,80-inf,0,0
39,0-20,4,3
39,20-40,0,0
39,40-60,0,0
39,60-80,0,0
39,80-inf,0,0
40,0-20,3,2
40,20-40,0,0
40,40-60,0,0
40,60-80,0,0
40,80-inf,0,0
41,0-20,5,3
41,20-40,0,0
41,40-60,0,0
41,60-80,0,0
41,80-inf,0,0
42,0-20,2,0
42,20-40,0,0
42,40-60,0,0
42,60-80,0,0
42,80-inf,0,0
43,0-20,5,4
43,20-40,0,0
43,40-60,0,0
43,60-80,0,0
43,80-inf,0,0
44,0-20,2,4
44,20-40,0,0
44,40-60,0,0
44,60-80,0,0
44,80-inf,0,0
45,0-20,5,1
45,20-40,0,0
45,40-60,0,0
45,60-80,0,0
45,80-inf,0,0
46,0-20,8,3
46,20-40,0,0
46,40-60,0,0
46,60-80,0,0
46,80-inf,0,0
47,0-20,3,4
47,20-40,0,0
47,40-60,0,0
47,60-80,0,0
47,80-inf,0,0
48,0-20,2,4
48,20-40,0,0
48,40-60,0,0
48,60-80,0,0
48,80-inf,0,0
49,0-20,4,7
49,20-40,0,0
49,40-60,0,0
49,60-80,0,0
49,80-inf,0,0
50,0-20,5,3
50,20-40,0,0
50,40-60,0,0
50,60-80,0,0
50,80-inf,0,0
51,0-20,0,3
51,20-40,0,0
51,40-60,0,0
51,60-80,0,0
51,80-inf,0,0
Period,Age Group,Category 0,Category 1
0,0-20,7,5
0,20-40,0,0
0,40-60,0,0
0,60-80,0,0
0,80-inf,0,0
1,0-20,2,4
1,20-40,0,0
1,40-60,0,0
1,60-80,0,0
1,80-inf,0,0
2,0-20,3,1
2,20-40,0,0
2,40-60,0,0
2,60-80,0,0
2,80-inf,0,0
3,0-20,2,5
3,20-40,0,0
3,40-60,0,0
3,60-80,0,0
3,80-inf,0,0
4,0-20,2,5
4,20-40,0,0
4,40-60,0,0
4,60-80,0,0
4,80-inf,0,0
5,0-20,1,3
5,20-40,0,0
5,40-60,0,0
5,60-80,0,0
5,80-inf,0,0
6,0-20,4,5
6,20-40,0,0
6,40-60,0,0
6,60-80,0,0
6,80-inf,0,0
7,0-20,4,4
7,20-40,0,0
7,40-60,0,0
7,60-80,0,0
7,80-inf,0,0
8,0-20,3,6
8,20-40,0,0
8,40-60,0,0
8,60-80,0,0
8,80-inf,0,0
9,0-20,3,3
9,20-40,0,0
9,40-60,0,0
9,60-80,0,0
9,80-inf,0,0
10,0-20,5,5
10,20-40,0,0
10,40-60,0,0
10,60-80,0,0
10,80-inf,0,0
11,0-20,6,4
11,20-40,0,0
11,40-60,0,0
11,60-80,0,0
11,80-inf,0,0
12,0-20,5,3
12,20-40,0,0
12,40-60,0,0
12,60-80,0,0
12,80-inf,0,0
13,0-20,3,5
13,20-40,0,0
13,40-60,0,0
13,60-80,0,0
13,80-inf,0,0
14,0-20,5,3
14,20-40,0,0
14,40-60,0,0
14,60-80,0,0
14,80-inf,0,0
15,0-20,4,4
15,20-40,0,0
15,40-60,0,0
15,60-80,0,0
15,80-inf,0,0
16,0-20,6,5
16,20-40,0,0
16,40-60,0,0
16,60-80,0,0
16,80-inf,0,0
17,0-20,3,4
17,20-40,0,0
17,40-60,0,0
17,60-80,0,0
17,80-inf,0,0
18,0-20,2,3
18,20-40,0,0
18,40-60,0,0
18,60-80,0,0
18,80-inf,0,0
19,0-20,7,4
19,20-40,0,0
19,40-60,0,0
19,60-80,0,0
19,80-inf,0,0
20,0-20,4,4
20,20-40,0,0
20,40-60,0,0
20,60-80,0,0
20,80-inf,0,0
21,0-20,5,7
21,20-40,0,0
21,40-60,0,0
21,60-80,0,0
21,80-inf,0,0
22,0-20,3,3
22,20-40,0,0
22,40-60,0,0
22,60-80,0,0
22,80-inf,0,0
23,0-20,2,2
23,20-40,0,0
23,40-60,0,0
23,60-80,0,0
23,80-inf,0,0
24,0-20,7,4
24,20-40,0,0
24,40-60,0,0
24,60-80,0,0
24,80-inf,0,0
25,0-20,0,1
25,20-40,0,0
25,40-60,0,0
25,60-80,0,0
25,80-inf,0,0
26,0-20,6,2
26,20-40,0,0
26,40-60,0,0
26,60-80,0,0
26,80-inf,0,0
27,0-20,4,2
27,20-40,0,0
27,40-60,0,0
27,60-80,0,0
27,80-inf,0,0
28,0-20,3,3
28,20-40,0,0
28,40-60,0,0
28,60-80,0,0
28,80-inf,0,0
29,0-20,2,8
29,20-40,0,0
29,40-60,0,0
29,60-80,0,0
29,80-inf,0,0
30,0-20,3,3
30,20-40,0,0
30,40-60,0,0
30,60-80,0,0
30,80-inf,0,0
31,0-20,7,7
31,20-40,0,0
31,40-60,0,0
31,60-80,0,0
31,80-inf,0,0
32,0-20,4,6
32,20-40,0,0
32,40-60,0,0
32,60-80,0,0
32,80-inf,0,0
33,0-20,4,4
33,20-40,0,0
33,40-60,0,0
33,60-80,0,0
33,80-inf,0,0
34,0-20,2,8
34,20-40,0,0
34,40-60,0,0
34,60-80,0,0
34,80-inf,0,0
35,0-20,4,3
35,20-40,0,0
35,40-60,0,0
35,60-80,0,0
35,80-inf,0,0
36,0-20,3,3
36,20-40,0,0
36,40-60,0,0
36,60-80,0,0
36,80-inf,0,0
37,0-20,2,3
37,20-40,0,0
37,40-60,0,0
37,60-80,0,0
37,80-inf,0,0
38,0-20,6,7
38,20-40,0,0
38,40-60,0,0
38,60-80,0,0
38,80-inf,0,0
39,0-20,0,2
39,20-40,0,0
39,40-60,0,0
39,60-80,0,0
39,80-inf,0,0
40,0-20,5,2
40,20-40,0,0
40,40-60,0,0
40,60-80,0,0
40,80-inf,0,0
41,0-20,4,4
41,20-40,0,0
41,40-60,0,0
41,60-80,0,0
41,80-inf,0,0
42,0-20,6,6
42,20-40,0,0
42,40-60,0,0
42,60-80,0,0
42,80-inf,0,0
43,0-20,6,3
43,20-40,0,0
43,40-60,0,0
43,60-80,0,0
43,80-inf,0,0
44,0-20,6,3
44,20-40,0,0
44,40-60,0,0
44,60-80,0,0
44,80-inf,0,0
45,0-20,3,5
45,20-40,0,0
45,40-60,0,0
45,60-80,0,0
45,80-inf,0,0
46,0-20,3,5
46,20-40,0,0
46,40-60,0,0
46,60-80,0,0
46,80-inf,0,0
47,0-20,2,3
47,20-40,0,0
47,40-60,0,0
47,60-80,0,0
47,80-inf,0,0
48,0-20,3,1
48,20-40,0,0
48,40-60,0,0
48,60-80,0,0
48,80-inf,0,0
49,0-20,4,5
49,20-40,0,0
49,40-60,0,0
49,60-80,0,0
49,80-inf,0,0
50,0-20,0,1
50,20-40,0,0
50,40-60,0,0
50,60-80,0,0
50,80-inf,0,0
51,0-20,0,0
51,20-40,0,0
51,40-60,0,0
51,60-80,0,0
51,80-inf,0,0
Period,Age Group,Category 0,Category 1
0,0-20,4,1
0,20-40,0,0
0,40-60,0,0
0,60-80,0,0
0,80-inf,0,0
1,0-20,1,2
1,20-40,0,0
1,40-60,0,0
1,60-80,0,0
1,80-inf,0,0
2,0-20,2,5
2,20-40,0,0
2,40-60,0,0
2,60-80,0,0
2,80-inf,0,0
3,0-20,4,5
3,20-40,0,0
3,40-60,0,0
3,60-80,0,0
3,80-inf,0,0
4,0-20,1,4
4,20-40,0,0
4,40-60,0,0
4,60-80,0,0
4,80-inf,0,0
5,0-20,1,3
5,20-40,0,0
5,40-60,0,0
5,60-80,0,0
5,80-inf,0,0
6,0-20,3,2
6,20-40,0,0
6,40-60,0,0
6,60-80,0,0
6,80-inf,0,0
7,0-20,3,4
7,20-40,0,0
7,40-60,0,0
7,60-80,0,0
7,80-inf,0,0
8,0-20,2,4
8,20-40,0,0
8,40-60,0,0
8,60-80,0,0
8,80-inf,0,0
9,0-20,5,3
9,20-40,0,0
9,40-60,0,0
9,60-80,0,0
9,80-inf,0,0
10,0-20,1,4
10,20-40,0,0
10,40-60,0,0
10,60-80,0,0
10,80-inf,0,0
11,0-20,9,8
11,20-40,0,0
11,40-60,0,0
11,60-80,0,0
11,80-inf,0,0
12,0-20,2,5
12,20-40,0,0
12,40-60,0,0
12,60-80,0,0
12,80-inf,0,0
13,0-20,3,3
13,20-40,0,0
13,40-60,0,0
13,60-80,0,0
13,80-inf,0,0
14,0-20,4,5
14,20-40,0,0
14,40-60,0,0
14,60-80,0,0
14,80-inf,0,0
15,0-20,5,1
15,20-40,0,0
15,40-60,0,0
15,60-80,0,0
15,80-inf,0,0
16,0-20,2,5
16,20-40,0,0
16,40-60,0,0
16,60-80,0,0
16,80-inf,0,0
17,0-20,3,7
17,20-40,0,0
17,40-60,0,0
17,60-80,0,0
17,80-inf,0,0
18,0-20,0,3
18,20-40,0,0
18,40-60,0,0
18,60-80,0,0
18,80-inf,0,0
19,0-20,1,3
19,20-40,0,0
19,40-60,0,0
19,60-80,0,0
19,80-inf,0,0
20,0-20,5,1
20,20-40,0,0
20,40-60,0,0
20,60-80,0,0
20,80-inf,0,0
21,0-20,6,3
21,20-40,0,0
21,40-60,0,0
21,60-80,0,0
21,80-inf,0,0
22,0-20,5,5
22,20-40,0,0
22,40-60,0,0
22,60-80,0,0
22,80-inf,0,0
23,0-20,4,4
23,20-40,0,0
23,40-60,0,0
23,60-80,0,0
23,80-inf,0,0
24,0-20,5,5
24,20-40,0,0
24,40-60,0,0
24,60-80,0,0
24,80-inf,0,0
25,0-20,8,3
25,20-40,0,0
25,40-60,0,0
25,60-80,0,0
25,80-inf,0,0
26,0-20,3,3
26,20-40,0,0
26,40-60,0,0
26,60-80,0,0
26,80-inf,0,0
27,0-20,3,5
27,20-40,0,0
27,40-60,0,0
27,60-80,0,0
27,80-inf,0,0
28,0-20,3,2
28,20-40,0,0
28,40-60,0,0
28,60-80,0,0
28,80-inf,0,0
29,0-20,3,2
29,20-40,0,0
29,40-60,0,0
29,60-80,0,0
29,80-inf,0,0
30,0-20,2,2
30,20-40,0,0
30,40-60,0,0
30,60-80,0,0
30,80-inf,0,0
31,0-20,1,3
31,20-40,0,0
31,40-60,0,0
31,60-80,0,0
31,80-inf,0,0
32,0-20,5,2
32,20-40,0,0
32,40-60,0,0
32,60-80,0,0
32,80-inf,0,0
33,0-20,5,4
33,20-40,0,0
33,40-60,0,0
33,60-80,0,0
33,80-inf,0,0
34,0-20,4,4
34,20-40,0,0
34,40-60,0,0
34,60-80,0,0
34,80-inf,0,0
35,0-20,2,6
35,20-40,0,0
35,40-60,0,0
35,60-80,0,0
35,80-inf,0,0
36,0-20,4,1
36,20-40,0,0
36,40-60,0,0
36,60-80,0,0
36,80-inf,0,0
37,0-20,6,3
37,20-40,0,0
37,40-60,0,0
37,60-80,0,0
37,80-inf,0,0
38,0-20,5,2
38,20-40,0,0
38,40-60,0,0
38,60-80,0,0
38,80-inf,0,0
39,0-20,6,1
39,20-40,0,0
39,40-60,0,0
39,60-80,0,0
39,80-inf,0,0
40,0-20,3,3
40,20-40,0,0
40,40-60,0,0
40,60-80,0,0
40,80-inf,0,0
41,0-20,5,6
41,20-40,0,0
41,40-60,0,0
41,60-80,0,0
41,80-inf,0,0
42,0-20,5,5
42,20-40,0,0
42,40-60,0,0
42,60-80,0,0
42,80-inf,0,0
43,0-20,4,7
43,20-40,0,0
43,40-60,0,0
43,60-80,0,0
43,80-inf,0,0
44,0-20,6,4
44,20-40,0,0
44,40-60,0,0
44,60-80,0,0
44,80-inf,0,0
45,0-20,3,6
45,20-40,0,0
45,40-60,0,0
45,60-80,0,0
45,80-inf,0,0
46,0-20,1,2
46,20-40,0,0
46,40-60,0,0
46,60-80,0,0
46,80-inf,0,0
47,0-20,4,5
47,20-40,0,0
47,40-60,0,0
47,60-80,0,0
47,80-inf,0,0
48,0-20,5,3
48,20-40,0,0
48,40-60,0,0
48,60-80,0,0
48,80-inf,0,0
49,0-20,2,3
49,20-40,0,0
49,40-60,0,0
49,60-80,0,0
49,80-inf,0,0
50,0-20,3,2
50,20-40,0,0
50,40-60,0,0
50,60-80,0,0
50,80-inf,0,0
51,0-20,0,0
51,20-40,0,0
51,40-60,0,0
51,60-80,0,0
51,80-inf,0,0
