Period,Age Group,Category 0,Category 1
32,0-20,0,2
32,20-40,0,1
32,40-60,0,0
32,60-80,1,0
32,80-inf,0,0
33,0-20,1,0
33,20-40,0,0
33,40-60,0,3
33,60-80,0,1
33,80-inf,0,2
34,0-20,1,0
34,20-40,0,1
34,40-60,0,0
34,60-80,0,0
34,80-inf,0,1
35,0-20,1,3
35,20-40,0,1
35,40-60,1,1
35,60-80,0,1
35,80-inf,0,1
36,0-20,1,3
36,20-40,0,1
36,40-60,0,0
36,60-80,0,0
36,80-inf,1,1
37,0-20,0,3
37,20-40,0,0
37,40-60,0,1
37,60-80,2,0
37,80-inf,1,0
38,0-20,1,0
38,20-40,1,0
38,40-60,1,0
38,60-80,0,1
38,80-inf,0,0
39,0-20,0,1
39,20-40,2,0
39,40-60,1,0
39,60-80,0,1
39,80-inf,0,0
40,0-20,2,1
40,20-40,0,0
40,40-60,0,1
40,60-80,1,0
40,80-inf,0,0
41,0-20,1,2
41,20-40,0,0
41,40-60,0,2
41,60-80,1,0
41,80-inf,0,0
42,0-20,0,2
42,20-40,0,2
42,40-60,0,0
42,60-80,0,1
42,80-inf,1,1
43,0-20,1,2
43,20-40,0,0
43,40-60,0,1
43,60-80,1,0
43,80-inf,0,0
44,0-20,2,3
44,20-40,1,0
44,40-60,2,0
44,60-80,0,1
44,80-inf,2,0
45,0-20,1,1
45,20-40,1,0
45,40-60,1,0
45,60-80,0,1
45,80-inf,1,0
46,0-20,3,3
46,20-40,0,0
46,40-60,0,0
46,60-80,1,0
46,80-inf,0,0
47,0-20,1,1
47,20-40,0,0
47,40-60,0,0
47,60-80,0,0
47,80-inf,0,0
48,0-20,1,3
48,20-40,1,0
48,40-60,0,0
48,60-80,0,0
48,80-inf,0,1
49,0-20,0,0
49,20-40,0,0
49,40-60,0,0
49,60-80,0,0
49,80-inf,1,1
50,0-20,1,1
50,20-40,1,0
50,40-60,1,0
50,60-80,3,0
50,80-inf,0,0
51,0-20,0,0
51,20-40,0,0
51,40-60,0,0
51,60-80,0,0
51,80-inf,0,0
Period,Age Group,Category 0,Category 1
0,0-20,0,1
0,20-40,2,1
0,40-60,1,2
0,60-80,0,0
0,80-inf,0,1
1,0-20,0,0
1,20-40,0,0
1,40-60,0,0
1,60-80,0,0
1,80-inf,0,0
2,0-20,0,1
2,20-40,0,0
2,40-60,0,1
2,60-80,0,0
2,80-inf,0,0
3,0-20,0,0
3,20-40,1,0
3,40-60,1,2
3,60-80,2,0
3,80-inf,0,2
4,0-20,1,1
4,20-40,0,2
4,40-60,0,1
4,60-80,0,0
4,80-inf,0,1
5,0-20,0,0
5,20-40,1,1
5,40-60,0,1
5,60-80,1,1
5,80-inf,0,1
6,0-20,0,3
6,20-40,0,1
6,40-60,0,3
6,60-80,0,0
6,80-inf,1,0
7,0-20,2,3
7,20-40,2,2
7,40-60,0,1
7,60-80,1,0
7,80-inf,0,0
8,0-20,0,2
8,20-40,1,0
8,40-60,2,0
8,60-80,2,0
8,80-inf,1,0
9,0-20,1,0
9,20-40,0,0
9,40-60,1,2
9,60-80,0,0
9,80-inf,0,1
10,0-20,0,1
10,20-40,0,0
10,40-60,0,1
10,60-80,0,0
10,80-inf,2,0
11,0-20,1,1
11,20-40,0,0
11,40-60,2,0
11,60-80,0,0
11,80-inf,0,2
12,0-20,0,2
12,20-40,1,1
12,40-60,0,0
12,60-80,1,0
12,80-inf,0,0
13,0-20,1,1
13,20-40,1,2
13,40-60,0,1
13,60-80,1,0
13,80-inf,1,0
14,0-20,1,4
14,20-40,0,0
14,40-60,0,0
14,60-80,0,1
14,80-inf,2,1
15,0-20,0,1
15,20-40,0,0
15,40-60,0,0
15,60-80,0,1
15,80-inf,1,1
16,0-20,0,1
16,20-40,0,1
16,40-60,0,0
16,60-80,1,1
16,80-inf,1,0
17,0-20,2,1
17,20-40,0,1
17,40-60,1,0
17,60-80,1,0
17,80-inf,1,1
18,0-20,2,1
18,20-40,1,2
18,40-60,0,0
18,60-80,0,0
18,80-inf,0,0
19,0-20,2,0
19,20-40,1,1
19,40-60,2,0
19,60-80,0,0
19,80-inf,1,0
20,0-20,1,0
20,20-40,0,0
20,40-60,1,0
20,60-80,0,1
20,80-inf,0,0
21,0-20,1,0
21,20-40,0,1
21,40-60,0,0
21,60-80,0,0
21,80-inf,0,0
22,0-20,0,0
22,20-40,0,1
22,40-60,1,0
22,60-80,0,1
22,80-inf,0,2
23,0-20,0,1
23,20-40,0,1
23,40-60,1,2
23,60-80,0,0
23,80-inf,0,1
24,0-20,2,0
24,20-40,0,1
24,40-60,2,0
24,60-80,0,1
24,80-inf,0,0
25,0-20,0,0
25,20-40,0,0
25,40-60,0,0
25,60-80,0,0
25,80-inf,0,0
26,0-20,0,1
26,20-40,1,0
26,40-60,0,1
26,60-80,0,0
26,80-inf,1,0
27,0-20,0,0
27,20-40,1,1
27,40-60,0,1
27,60-80,0,1
27,80-inf,0,0
28,0-20,0,0
28,20-40,0,2
28,40-60,0,0
28,60-80,1,1
28,80-inf,2,0
29,0-20,0,1
29,20-40,0,0
29,40-60,1,0
29,60-80,1,0
29,80-inf,2,0
30,0-20,1,1
30,20-40,0,0
30,40-60,0,0
30,60-80,2,0
30,80-inf,0,1
31,0-20,1,0
31,20-40,1,1
31,40-60,0,0
31,60-80,0,1
31,80-inf,1,1
32,0-20,0,0
32,20-40,1,0
32,40-60,0,0
32,60-80,1,0
32,80-inf,1,0
33,0-20,1,3
33,20-40,1,1
33,40-60,1,1
33,60-80,0,0
33,80-inf,0,0
34,0-20,1,1
34,20-40,0,0
34,40-60,0,0
34,60-80,0,1
34,80-inf,0,0
35,0-20,0,0
35,20-40,1,1
35,40-60,1,0
35,60-80,1,0
35,80-inf,0,0
36,0-20,0,1
36,20-40,0,0
36,40-60,1,0
36,60-80,0,1
36,80-inf,2,0
37,0-20,0,0
37,20-40,0,0
37,40-60,0,1
37,60-80,1,0
37,80-inf,0,0
38,0-20,2,1
38,20-40,0,0
38,40-60,0,1
38,60-80,0,0
38,80-inf,0,0
39,0-20,1,1
39,20-40,1,0
39,40-60,1,0
39,60-80,0,1
39,80-inf,0,2
40,0-20,2,0
40,20-40,1,1
40,40-60,0,0
40,60-80,0,0
40,80-inf,0,0
41,0-20,0,1
41,20-40,0,0
41,40-60,0,1
41,60-80,1,0
41,80-inf,0,0
42,0-20,1,2
42,20-40,0,0
42,40-60,1,0
42,60-80,1,1
42,80-inf,0,2
43,0-20,1,2
43,20-40,0,0
43,40-60,3,0
43,60-80,1,1
43,80-inf,0,1
44,0-20,1,2
44,20-40,0,1
44,40-60,1,0
44,60-80,0,2
44,80-inf,1,2
45,0-20,2,2
45,20-40,0,0
45,40-60,0,0
45,60-80,0,1
45,80-inf,0,0
46,0-20,0,3
46,20-40,1,0
46,40-60,0,1
46,60-80,0,2
46,80-inf,0,1
47,0-20,3,1
47,20-40,1,0
47,40-60,2,0
47,60-80,0,0
47,80-inf,0,0
48,0-20,0,0
48,20-40,1,0
48,40-60,0,1
48,60-80,2,0
48,80-inf,1,1
49,0-20,0,3
49,20-40,0,1
49,40-60,0,1
49,60-80,1,0
49,80-inf,0,0
50,0-20,0,3
50,20-40,1,1
50,40-60,1,0
50,60-80,2,0
50,80-inf,0,0
51,0-20,0,1
51,20-40,2,1
51,40-60,2,1
51,60-80,0,2
51,80-inf,0,0
Period,Age Group,Category 0,Category 1
0,0-20,0,0
0,20-40,2,3
0,40-60,0,0
0,60-80,1,0
0,80-inf,1,0
1,0-20,1,0
1,20-40,1,3
1,40-60,0,1
1,60-80,0,0
1,80-inf,1,0
2,0-20,0,1
2,20-40,2,0
2,40-60,0,0
2,60-80,0,0
2,80-inf,1,1
3,0-20,0,3
3,20-40,0,0
3,40-60,1,3
3,60-80,0,0
3,80-inf,0,1
4,0-20,0,1
4,20-40,1,0
4,40-60,0,2
4,60-80,0,0
4,80-inf,1,2
5,0-20,1,1
5,20-40,0,1
5,40-60,1,0
5,60-80,1,0
5,80-inf,0,1
6,0-20,0,0
6,20-40,0,0
6,40-60,0,0
6,60-80,1,0
6,80-inf,0,0
7,0-20,0,2
7,20-40,1,1
7,40-60,0,0
7,60-80,1,0
7,80-inf,0,1
8,0-20,0,1
8,20-40,1,2
8,40-60,1,1
8,60-80,1,1
8,80-inf,0,1
9,0-20,0,0
9,20-40,0,0
9,40-60,0,0
9,60-80,1,1
9,80-inf,0,0
10,0-20,1,0
10,20-40,0,0
10,40-60,0,0
10,60-80,1,1
10,80-inf,0,0
11,0-20,0,2
11,20-40,1,0
11,40-60,0,1
11,60-80,0,2
11,80-inf,0,1
12,0-20,4,1
12,20-40,0,0
12,40-60,0,0
12,60-80,0,1
12,80-inf,1,1
13,0-20,1,1
13,20-40,1,0
13,40-60,0,0
13,60-80,0,1
13,80-inf,1,0
14,0-20,1,0
14,20-40,0,1
14,40-60,0,1
14,60-80,0,1
14,80-inf,0,2
15,0-20,0,1
15,20-40,0,0
15,40-60,0,0
15,60-80,0,2
15,80-inf,0,0
16,0-20,1,0
16,20-40,1,0
16,40-60,1,0
16,60-80,1,0
16,80-inf,0,0
17,0-20,1,2
17,20-40,2,0
17,40-60,0,0
17,60-80,0,1
17,80-inf,3,1
18,0-20,1,2
18,20-40,0,1
18,40-60,2,0
18,60-80,1,0
18,80-inf,0,0
19,0-20,1,1
19,20-40,0,0
19,40-60,1,0
19,60-80,0,1
19,80-inf,0,1
20,0-20,0,1
20,20-40,0,3
20,40-60,1,1
20,60-80,0,0
20,80-inf,0,0
21,0-20,2,0
21,20-40,0,1
21,40-60,0,2
21,60-80,0,0
21,80-inf,0,0
22,0-20,0,2
22,20-40,1,1
22,40-60,0,0
22,60-80,1,1
22,80-inf,1,1
23,0-20,1,0
23,20-40,0,0
23,40-60,1,0
23,60-80,0,1
23,80-inf,0,0
24,0-20,4,1
24,20-40,0,1
24,40-60,1,0
24,60-80,0,1
24,80-inf,0,1
25,0-20,0,1
25,20-40,1,0
25,40-60,1,0
25,60-80,0,0
25,80-inf,2,1
26,0-20,0,0
26,20-40,1,0
26,40-60,0,0
26,60-80,0,1
26,80-inf,0,2
27,0-20,0,2
27,20-40,0,1
27,40-60,0,0
27,60-80,0,0
27,80-inf,0,0
28,0-20,2,0
28,20-40,0,0
28,40-60,0,0
28,60-80,0,0
28,80-inf,0,1
29,0-20,0,1
29,20-40,1,0
29,40-60,1,0
29,60-80,0,0
29,80-inf,0,0
30,0-20,2,2
30,20-40,0,1
30,40-60,1,1
30,60-80,0,0
30,80-inf,0,0
31,0-20,3,0
31,20-40,1,0
31,40-60,0,0
31,60-80,0,1
31,80-inf,1,0
32,0-20,0,0
32,20-40,0,0
32,40-60,1,0
32,60-80,0,1
32,80-inf,1,0
33,0-20,2,1
33,20-40,0,0
33,40-60,0,0
33,60-80,0,0
33,80-inf,0,0
34,0-20,1,0
34,20-40,0,0
34,40-60,2,0
34,60-80,0,1
34,80-inf,0,0
35,0-20,0,1
35,20-40,0,1
35,40-60,0,0
35,60-80,0,0
35,80-inf,0,2
36,0-20,1,2
36,20-40,1,0
36,40-60,1,1
36,60-80,1,1
36,80-inf,1,0
37,0-20,3,0
37,20-40,0,1
37,40-60,1,0
37,60-80,2,0
37,80-inf,0,0
38,0-20,3,0
38,20-40,0,0
38,40-60,1,0
38,60-80,0,0
38,80-inf,0,1
39,0-20,3,1
39,20-40,1,0
39,40-60,2,0
39,60-80,1,0
39,80-inf,1,1
40,0-20,1,0
40,20-40,0,1
40,40-60,2,1
40,60-80,0,0
40,80-inf,0,0
41,0-20,1,2
41,20-40,0,1
41,40-60,2,0
41,60-80,0,0
41,80-inf,1,1
42,0-20,1,0
42,20-40,1,2
42,40-60,0,0
42,60-80,0,0
42,80-inf,0,0
43,0-20,0,1
43,20-40,0,0
43,40-60,0,1
43,60-80,0,1
43,80-inf,0,0
44,0-20,0,0
44,20-40,0,1
44,40-60,1,0
44,60-80,0,0
44,80-inf,0,0
45,0-20,3,2
45,20-40,0,0
45,40-60,1,0
45,60-80,0,0
45,80-inf,0,1
46,0-20,1,0
46,20-40,0,1
46,40-60,0,3
46,60-80,2,0
46,80-inf,0,0
47,0-20,0,1
47,20-40,0,0
47,40-60,0,0
47,60-80,1,1
47,80-inf,1,2
48,0-20,0,0
48,20-40,0,0
48,40-60,0,0
48,60-80,0,0
48,80-inf,0,0
49,0-20,1,1
49,20-40,1,0
49,40-60,1,0
49,60-80,0,2
49,80-inf,1,0
50,0-20,1,1
50,20-40,1,1
50,40-60,0,0
50,60-80,0,2
50,80-inf,0,0
51,0-20,2,1
51,20-40,1,1
51,40-60,0,1
51,60-80,0,2
51,80-inf,0,0
